patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-9216988-B2,CHEMBL3886436,CHEMBL3581540,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(Cl)c3)c(F)c2)CC1
US-9216988-B2,CHEMBL3886436,CHEMBL3937150,CC(C)CN(Cc1ccc(N2CCCC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3317828,CC(C)CN(Cc1ccc(N2CCC(O)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3909233,COCCNc1ccc(CN(CC(C)C)S(=O)(=O)Cc2ccccc2)cc1
US-9216988-B2,CHEMBL3886436,CHEMBL3317826,CC(C)CN(Cc1ccc(N2CCOCC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3317827,CC(C)CN(Cc1ccc(N2CCN(C)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3960061,CC(C)CN(Cc1ccc(NCCO)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3936058,CC(C)CN(Cc1ccc(N2CCNC(=O)C2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3923609,CC(C)CN([C@@H](C)c1ccc(N2CCOCC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL4109027,CC(C)CN([C@H](C)c1ccc(N2CCOCC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3949694,CC(C)CN([C@@H](C)c1ccc(N2CCC(O)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3947989,CC(C)CN([C@@H](C)c1ccc(N2CCN(C)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL4114396,CC(C)CN([C@H](C)c1ccc(N2CCC(O)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL4114177,CC(C)CN([C@H](C)c1ccc(N2CCN(C)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3892943,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cc(Cl)ccc3Cl)c(F)c2)CC1
US-9216988-B2,CHEMBL3886436,CHEMBL3917438,CC(=O)N1CCN(c2ccc(CN(CC(F)(F)F)S(=O)(=O)C(C)c3ccccc3)c(F)c2)CC1
US-9216988-B2,CHEMBL3886436,CHEMBL3935415,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3cccc(OC(F)(F)F)c3)c(F)c2)CC1
US-9216988-B2,CHEMBL3886436,CHEMBL3581554,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(C(C)(C)C)cc3)c(F)c2)CC1
US-9216988-B2,CHEMBL3886436,CHEMBL3317832,CC(C)CN(Cc1ccc(N2CCC(C(=O)N(C)C)CC2)cc1)S(=O)(=O)Cc1ccccc1
US-9216988-B2,CHEMBL3886436,CHEMBL3962870,COCC1CCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1
