patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8618107-B2,CHEMBL3639120,CHEMBL3670078,Cc1c(-c2cc(Nc3cc4n(n3)CCN(C)C4)c(=O)[nH]n2)cccc1N1CCn2c(cc3c2CCCC3)C1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670079,Cc1c(-c2cc(Nc3cc4n(n3)CCN(C)C4)c(=O)[nH]n2)cccc1N1CCn2c(cc3ccccc32)C1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670080,Cc1c(-c2cc(Nc3cc4n(n3)CCN(C)C4)c(=O)n(C)n2)cccc1N1Cc2c(sc3ccccc23)C1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670081,Cn1cc(-c2cccc(N3CCc4c(sc5c4CCCC5)C3=O)c2CO)cc(Nc2ccncn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670082,Cn1cc(-c2cccc(N3CCc4c(sc5c4CC(C)(C)C5)C3=O)c2CO)cc(Nc2ccncn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670083,Cn1cc(-c2cccc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2cc(C3CC3)n[nH]2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670084,Cn1cc(-c2cccc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccc(N3CCOCC3)cn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670085,CC(=O)N1CCn2nc(Nc3cc(-c4cccc(N5CCn6c(cc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)cc2C1
US-8618107-B2,CHEMBL3639120,CHEMBL3670086,Cn1cc(-c2cccc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccncn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670087,Cn1cc(-c2cccc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2cc3n(n2)CCOC3)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670088,CN1CCN(c2ccc(Nc3cc(-c4cccc(N5CCn6c(cc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)nc2)CC1
US-8618107-B2,CHEMBL3639120,CHEMBL3670089,Cn1cc(-c2cccc(N3CCc4c(sc5c4CCCC5)C3=O)c2CO)nc(Nc2cnn(CCO)c2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670090,Cn1nc(Nc2cc(-c3cccc(N4CCc5c(sc6c5CCCC6)C4=O)c3CO)nn(C)c2=O)cc1C(C)(C)O
US-8618107-B2,CHEMBL3639120,CHEMBL3670091,Cn1cc(-c2cccc(N3CCc4c(sc5c4CCCC5)C3=O)c2CO)cc(Nc2cc(C3CC3)n[nH]2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670092,CCn1cc(Nc2nc(-c3cccc(N4CCc5c(sc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)cn1
US-8618107-B2,CHEMBL3639120,CHEMBL3670093,Cn1cc(-c2cc(F)cc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2cc3n(n2)CCOC3)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670094,CN1CCN(c2ccc(Nc3cc(-c4cc(F)cc(N5CCn6c(cc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)nc2)CC1
US-8618107-B2,CHEMBL3639120,CHEMBL3670095,Cn1cc(-c2cc(F)cc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccc(N3CCN(C4COC4)CC3)cn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670096,Cn1cc(-c2cc(F)cc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccc(C3CCN(C4COC4)CC3)cn2)c1=O
US-8618107-B2,CHEMBL3639120,CHEMBL3670097,CN1CCC(c2ccc(Nc3cc(-c4cc(F)cc(N5CCc6c(sc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)nc2)CC1
US-8618107-B2,CHEMBL3639120,CHEMBL3670098,CN(C)CCOc1ccc(Nc2cc(-c3cc(F)cc(N4CCc5c(sc6c5CCCC6)C4=O)c3CO)cn(C)c2=O)nc1
