patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-9040534-B2,CHEMBL3638702,CHEMBL3663228,O=C1c2nnc(-c3ccc(F)cc3)n2CCN1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663229,O=C1c2nnc(-c3cnccn3)n2CCN1Cc1cccc(Cl)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663230,O=C1c2nnc(-c3cnccn3)n2CCN1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663231,CC(c1cccc(C(F)(F)F)c1Cl)N1CCn2c(nnc2-c2cnccn2)C1=O
US-9040534-B2,CHEMBL3638702,CHEMBL3663232,O=C1c2nnc(-c3cnccn3)n2CCN1Cc1c(Cl)cccc1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663233,O=C1c2nnc(-c3cnccn3)n2CCN1Cc1cccc(F)c1F
US-9040534-B2,CHEMBL3638702,CHEMBL3663234,CS(=O)(=O)c1cc(Cl)ccc1CN1CCn2c(nnc2-c2cnccn2)C1=O
US-9040534-B2,CHEMBL3638702,CHEMBL3663235,O=C1c2nnc(-c3ccccn3)n2CCN1Cc1cccc(Cl)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663236,O=C1c2nnc(-c3ccccn3)n2CCN1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663237,CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(Cl)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663238,C[C@@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(Cl)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663239,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(Cl)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663240,CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663241,C[C@@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663242,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663243,C[C@H]1Cn2c(nnc2-c2ccc(F)cc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663244,C[C@H]1Cn2c(nnc2-c2ccccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663245,Cc1cnc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)cn1
US-9040534-B2,CHEMBL3638702,CHEMBL3663246,C[C@H]1Cn2c(nnc2-c2ncco2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663247,C[C@H]1Cn2c(nnc2-c2cocn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663248,C[C@H]1Cn2c(nnc2-c2cnco2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663249,C[C@H]1Cn2c(nnc2-c2ccn(C)n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663250,C[C@H]1Cn2c(nnc2-c2cnn(C)c2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663251,C[C@H]1Cn2c(nnc2-c2cn[nH]c2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663252,Cc1cc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)n[nH]1
US-9040534-B2,CHEMBL3638702,CHEMBL3663253,C[C@H]1Cn2c(nnc2-c2cc[nH]n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663254,C[C@H]1Cn2c(nnc2-c2cccnc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663255,C[C@H]1Cn2c(nnc2-c2ccc(F)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663256,C[C@H]1Cn2c(nnc2-c2nccs2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663257,C[C@H]1Cn2c(nnc2-c2cscn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663258,C[C@H]1Cn2c(nnc2-c2ccncn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663259,C[C@H]1Cn2c(nnc2-c2ncc(F)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663260,C[C@H]1Cn2c(nnc2-c2cc(CO)ccn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663261,Cc1nc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)cs1
US-9040534-B2,CHEMBL3638702,CHEMBL3663262,C[C@H]1Cn2c(nnc2-c2cncs2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663263,C[C@H]1Cn2c(nnc2-c2csc(C(F)(F)F)n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663264,Cc1nc(C)c(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)s1
US-9040534-B2,CHEMBL3638702,CHEMBL3663265,Cc1ncsc1-c1nnc2n1C[C@H](C)N(Cc1cccc(C(F)(F)F)c1Cl)C2=O
US-9040534-B2,CHEMBL3638702,CHEMBL3663266,C[C@H]1Cn2c(nnc2-c2ccon2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663267,C[C@H]1Cn2c(nnc2-c2ncc(Br)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663268,C[C@H]1Cn2c(nnc2-c2cccnn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663269,C[C@H]1Cn2c(nnc2-c2cncc(F)c2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663270,Cc1cccc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)n1
US-9040534-B2,CHEMBL3638702,CHEMBL3663271,C[C@H]1Cn2c(nnc2-c2ccncc2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3639621,Cc1ncccc1-c1nnc2n1C[C@H](C)N(Cc1cccc(C(F)(F)F)c1Cl)C2=O
US-9040534-B2,CHEMBL3638702,CHEMBL3663272,C[C@H]1Cn2c(nnc2C2CCC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663273,C[C@H]1Cn2c(nnc2C2CC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663274,C[C@H]1Cn2c(nnc2C2CCCCC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663275,C[C@H]1Cn2c(nnc2-c2cncc(Cl)c2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663276,C[C@H]1Cn2c(nnc2C2CCOCC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663277,C[C@H]1Cn2c(nnc2-c2nccc(C(F)(F)F)n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663278,C[C@H]1Cn2c(nnc2-c2cccc(C(F)(F)F)n2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663279,C[C@H]1Cn2c(nnc2-c2ccc(Cl)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663280,Cc1cncc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)c1
US-9040534-B2,CHEMBL3638702,CHEMBL3663281,C[C@H]1Cn2c(nnc2C2CCN(C(=O)OC(C)(C)C)C2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663282,C[C@H]1Cn2c(nnc2C2CCCN(C(=O)OC(C)(C)C)C2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663283,C[C@H]1Cn2c(nnc2C2CCCNC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl
US-9040534-B2,CHEMBL3638702,CHEMBL3663284,O=C1c2nnc(-c3cnccn3)n2CC(C2CC2)N1Cc1cccc(C(F)(F)F)c1Cl
