patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8470820-B2,CHEMBL3638485,CHEMBL2180800,O=C(Nc1cnc(-c2ccccn2)s1)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642176,Cc1ccc(Nc2cncnc2)c(C(=O)Nc2ccn(-c3ccccc3)n2)n1
US-8470820-B2,CHEMBL3638485,CHEMBL3642177,Cc1ccc(Nc2cncnc2)c(C(=O)Nc2ccn(-c3ccccn3)n2)n1
US-8470820-B2,CHEMBL3638485,CHEMBL3642178,Cc1ccc(Nc2cncnc2)c(C(=O)Nc2ccn(-c3ccncc3)n2)n1
US-8470820-B2,CHEMBL3638485,CHEMBL3642179,O=C(Nc1ccn(-c2ccc(F)cc2)n1)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642180,O=C(Nc1ccn(-c2ccncc2)n1)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642181,Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642182,O=C(Nc1cc(-c2ccccc2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642183,O=C(Nc1cc(-c2ccccn2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642184,COCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1
US-8470820-B2,CHEMBL3638485,CHEMBL3639410,CN(C)CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1
US-8470820-B2,CHEMBL3638485,CHEMBL3642185,COCc1ncc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2C)n1
