patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8623906-B2,CHEMBL3639170,CHEMBL3693872,O=C(O)CCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693873,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(=O)CCC(=O)O)CC1
US-8623906-B2,CHEMBL3639170,CHEMBL3693874,O=C(O)C(O)CC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693875,CC1Cc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc2N1C(=O)CCC(=O)O
US-8623906-B2,CHEMBL3639170,CHEMBL3693876,O=C(O)/C=C/C(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693877,O=C(Nc1cccc(Cl)c1)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693878,O=C(Nc1ccccc1Cl)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693879,CC(C)c1ccc(NC(=O)N2CCc3cc(S(=O)(=O)N4CCN(c5cccc(Cl)c5)CC4)ccc32)cc1
US-8623906-B2,CHEMBL3639170,CHEMBL3693880,O=C(O)CCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4ccccc4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693881,O=C(Nc1ccc(Cl)c(Cl)c1)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693882,O=C(O)CCCC(=O)N1CCc2cc(S(=O)(=O)N3CCN(c4cccc(Cl)c4)CC3)ccc21
US-8623906-B2,CHEMBL3639170,CHEMBL3693883,COc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4CCN(c5cccc(Cl)c5)CC4)ccc32)cc1
