patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-9234000-B2,CHEMBL3886459,CHEMBL3928260,CCOc1ccc(CC(=O)CNN(C(=O)CC)[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3959264,CCOc1ccc(C[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3922841,CCOc1ccc(C[C@@H](NC(=O)c2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3950563,NCc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC2CCCCC2)NCC(=O)O)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3949564,CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3975470,CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)c(F)c2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3940605,CCOc1ccc(CC(=O)CNN(C(=O)CC)[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)c(F)c2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3966982,NCc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](N)CC2CCCCC2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3965996,CN(C)[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3969147,CCC(=O)N[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3940075,CS(=O)(=O)N[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3951067,CCOc1ccc(CC(=O)CNN(C(=O)CC)[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2Cl)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3889807,CCOc1ccc(C[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)N(C)C)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3918639,CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3960146,CCOc1ccc(C[C@@H](NS(=O)(=O)c2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3957646,CCOc1ccc(CC(=O)CNN(C(=O)CC)[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)NCc2ccc(CN)cc2)cc1
US-9234000-B2,CHEMBL3886459,CHEMBL3974980,CCOc1ccc(C[C@@H](NCC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1
