patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8524717-B2,CHEMBL3639147,CHEMBL3651561,O=C(CN[C@H]1C[C@@H]1c1ccccc1)NC1CC1
US-8524717-B2,CHEMBL3639147,CHEMBL3651562,NC(=O)CN[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651563,CC(N[C@H]1C[C@@H]1c1ccccc1)C(=O)NC1CC1
US-8524717-B2,CHEMBL3639147,CHEMBL3651564,C#CCNC(=O)CN[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651565,CC(C)NC(=O)CN[C@H]1CC1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651566,CC(C)(C)NC(=O)CN[C@H]1CC1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651567,O=C(CN[C@H]1CC1c1ccccc1)N1CCOCC1
US-8524717-B2,CHEMBL3639147,CHEMBL3651568,O=C(CN[C@H]1C[C@@H]1c1ccccc1)Nc1ccc(F)cc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651569,CC(N[C@H]1C[C@@H]1c1ccccc1)C(N)=O
US-8524717-B2,CHEMBL3639147,CHEMBL3651570,COC(=O)C(C)N[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651571,O=C(CN[C@H]1C[C@@H]1c1ccccc1)NCC1CCNCC1
US-8524717-B2,CHEMBL3639147,CHEMBL3651572,CC(CN(C)C)NC(=O)CN[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651573,CN(C)CCNC(=O)CN[C@H]1CC1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651574,CN(C)[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
US-8524717-B2,CHEMBL3639147,CHEMBL3651575,CN(C)[C@@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
US-8524717-B2,CHEMBL3639147,CHEMBL3651576,N[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1
US-8524717-B2,CHEMBL3639147,CHEMBL3651577,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N[C@H]1CCNC1
US-8524717-B2,CHEMBL3639147,CHEMBL3651578,CN(CC(=O)NC1CC1)[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651579,CN(CC(N)=O)[C@H]1C[C@@H]1c1ccccc1
US-8524717-B2,CHEMBL3639147,CHEMBL3651580,CC(C)(C)NC(=O)CN(Cc1ccccc1)[C@H]1C[C@@H]1c1ccccc1
