patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8546380-B2,CHEMBL3639265,CHEMBL3642599,CC1(c2cccc(/C=C/c3ccc(Cl)cc3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642600,CC1(c2cc(Br)cc(NC(=O)c3ccc(Cl)cn3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642601,CC1(c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642602,CC1(c2cccc(OCC(=O)Nc3cccc(O)c3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642603,CCOC(=O)/C=C/c1cccc(C2(C)CCSC(N)=N2)c1
US-8546380-B2,CHEMBL3639265,CHEMBL3642604,Cc1cc(C(=O)Nc2cc(Br)cc(C3(C)CCSC(N)=N3)c2)c(C)o1
US-8546380-B2,CHEMBL3639265,CHEMBL3642605,CC1(c2cc(Br)cc(NC(=O)c3cccs3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3907072,CC1(c2cccc(C=CC(=O)Nc3ccc(Cl)cn3)c2)CCSC(=N)N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642607,CC1(c2cc(Br)cc(NC(=O)c3nc4ccccc4s3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3950821,CC1(c2cccc(C=Cc3ccc(Cl)cn3)c2)CCSC(=N)N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642609,Cc1ccc(NC(=O)COc2cccc(C3(C)CCSC(N)=N3)c2)cc1O
US-8546380-B2,CHEMBL3639265,CHEMBL3642610,CC1(c2cccc(NCc3ccc(Cl)cc3)c2)CCSC(N)=N1
US-8546380-B2,CHEMBL3639265,CHEMBL3642611,CC1(c2cc(Br)cc(NC(=O)c3ccco3)c2)CCSC(N)=N1
