patent_id,patent_chembl_id,compound_chembl_id,canonical_smiles
US-8791123-B2,CHEMBL3638907,CHEMBL3671129,CC(C)(C)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671130,O=C(Nc1ccccn1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671131,Cc1cccnc1NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671132,O=C(NCCN1CCOCC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671133,Cc1ccc(CNC(=O)c2cnn3ccc(N4CCC[C@@H]4c4cc(F)ccc4F)nc23)o1
US-8791123-B2,CHEMBL3638907,CHEMBL3671134,Cn1ccc(NC(=O)c2cnn3ccc(N4CCC[C@@H]4c4cc(F)ccc4F)nc23)n1
US-8791123-B2,CHEMBL3638907,CHEMBL3671135,O=C(N[C@H]1CC[C@H](O)CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671136,CC(C)(CO)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671137,CC(C)(CN1CCOCC1)NC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671138,CNC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671139,O=C(O)C1CCN(C(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1
US-8791123-B2,CHEMBL3638907,CHEMBL3671140,O=C(O)CC1CCN(C(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1
US-8791123-B2,CHEMBL3638907,CHEMBL3671141,O=C(NC1CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671142,O=C(NC1CCC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671143,O=C(N[C@H]1CC2CCC1C2)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671144,O=C(NC1(CO)CC1)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
US-8791123-B2,CHEMBL3638907,CHEMBL3671145,CC(C)(O)CNC(=O)c1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12
