SMILES CHEMBL_ID RTB
C[C@]1(C(=O)O)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)C3=C(CC[C@@H]12)C(=O)OC3 CHEMBL451966 1
COC(=O)[C@H]1[C@@H](O)C[C@@H]2CC[C@H]1N2C CHEMBL1232472 1
CC1C[C@H]2[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC/C(=N\O)C=C12 CHEMBL3976163 1
O[C@H]1[C@H]2C[C@H](C[C@@H]2n2cnc3c(Cl)ncnc32)[C@H]1O CHEMBL1164749 1
CC(=O)O[C@@H]1c2c3c(cc(O)c2C(=O)O[C@@H]1C)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]1C3 CHEMBL3581316 1
CC(=O)O[C@H]1CC[C@@H]2C(=CC[C@H]3[C@@]2(C)CC[C@@]2(C)[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]32C)C1(C)C CHEMBL487567 1
CCc1oc(=O)cc2c1C[C@H]1OC(=O)[C@@]3(C)[C@@H](O)C[C@@H](O)[C@@]2(C)[C@@H]13 CHEMBL4205048 1
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SSSS3 CHEMBL1950962 1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C CHEMBL2322582 1
C[C@H]1OC(=O)[C@@]2(CO)N(C)C(=O)[C@H](C)[C@@]12O CHEMBL2374508 1
CC(C)(C)OC(=O)N1CC[C@@H]2[C@H]1c1cc(Cl)ccc1N[C@H]2c1c[nH]c2ccc(Br)cc12 CHEMBL281639 1
C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43C)C1CC[C@]2(O)c1c[nH]cn1 CHEMBL324066 1
CC1(C)Oc2cc([C@]34CC5CC(C[C@@](N)(C5)C3)C4)cc(O)c2[C@@H]2C[C@H](O)CC[C@H]21 CHEMBL3416123 1
CN1CC[C@@H]2CN[C@H](c3ccccc3Br)C[C@@H]21 CHEMBL2360026 1
CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)N(C)C)C[C@H]4[C@]3(C)CC[C@@]21C CHEMBL3417315 1
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)CC(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 CHEMBL1077726 1
C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)N1CCN(C(=O)OC(C)(C)C)CC1)=C\CC[C@@]1(C)O[C@@H]21 CHEMBL4060491 1
CO[C@H]1CC[C@H]2CCN(C)[C@H]2C1 CHEMBL3318889 1
