doc_chembl_id,numAtoms,avgNumMolAtoms,smarts,time,scaff_frac
CHEMBL1140586,15,17.59090909090909,"[#6]-,=;!@[#6]-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6]-&@[#8]-&@[#6](-&@[#6]-&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1",0.00456690788269043,0.8527131782945737
CHEMBL1153392,17,20.146341463414632,[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#7]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#7]2:&@[#6](:&@[#7]:&@1):&@[#7]:&@[#6]:&@[#7]:&@2,0.03339242935180664,0.8438256658595642
CHEMBL1138529,26,41.1875,[#6]-&!@[#7]1:&@[#6]:&@[#7]:&@[#6]:&@[#6]:&@1-&!@[#6]-&!@[#7]1-&@[#6]-&@[#6](-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6])-&@[#6]-&@[#6]2:&@[#6]-&@1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]#&!@[#7],30.205141305923462,0.6312594840667678
CHEMBL1156284,35,40.96774193548387,[#6]-&!@[#6](-&!@[#8]-&!@[#6]1-&@[#6]-&@[#7]2-&@[#6](-&@[#6]-&@1-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#9])-&@[#6]-&@[#6](=&@[#6]-&@[#6]-&@2=&!@[#8])-&!@[#6])-&!@[#6]1:&@[#6]:&@[#6](-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9]):&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9],30.035293579101562,0.8543307086614172
CHEMBL1212923,16,25.967741935483872,[#6](=&!@[#8])-&!@[#7]1-&@[#6]-&@[#6]-&@[#7](-&@[#6]-&@[#6]-&@1)-&!@[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,0.17508530616760254,0.6161490683229813
CHEMBL1671812,21,28.13157894736842,"[#6]1:&@[#6]:&@[#6](-&!@[#6]=,-;!@[#6]2-&@[#16]-&@[#6](-&@[#7]-&@[#6]-&@2=&!@[#8])=&!@[#8]):&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1",0.10987639427185059,0.7464920486435921
CHEMBL1671841,14,19.93617021276596,[#6]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6](=&!@[#8]):&@[#8]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6]:&@[#7]:&@2)=&!@[#8],0.018365144729614258,0.7022411953041622
CHEMBL1795332,22,36.02777777777778,[#6]-&!@[#7]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1=&!@[#8])-&!@[#6]1-&@[#6]-&@[#6]-&@[#7]-&@[#6]-&@[#6]-&@1-&!@[#6](=&!@[#8])-&!@[#7](-&!@[#6]-&!@[#6])-&!@[#6]1-&@[#6]-&@[#6]-&@1,29.737215757369995,0.6106399383191982
CHEMBL1828590,18,27.056603773584907,[#6]-&!@[#6]-&!@[#6]1:&@[#7]:&@[#6]2:&@[#6](:&@[#7]:&@1-&!@[#6]):&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@2)-&!@[#6]=&!@[#6]-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#8],0.09241986274719238,0.6652719665271967
CHEMBL1909618,26,31.225806451612904,[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6]-&!@[#6](-&!@[#8])(-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6](-&!@[#9])(-&!@[#9])-&!@[#9],0.05386781692504883,0.8326446280991735
