chembl_id canonical_smiles
CHEMBL1796716 Brc1ccc(/C=C/c2ccc(-c3ccc(I)s3)s2)cc1
CHEMBL143576 Brc1ccc([C@H]2CC3CCC2N3)cn1
CHEMBL1774729 Brc1ccc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1
CHEMBL39337 Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1
CHEMBL338114 Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1
CHEMBL126791 Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1
CHEMBL314303 Brc1ccc(OC[C@H]2CCN2)cn1
CHEMBL396308 Brc1cc(N2C[C@H]3CNC[C@H]32)cnc1Br
CHEMBL1774952 c1c2c(cc3sc(NCCCCCCCCCCNc4nc5cc6c(cc5s4)C[C@@H]4[C@@H]5CCCC[C@]65CCN4CC4CC4)nc13)C[C@@H]1[C@@H]3CCCC[C@]23CCN1CC1CC1
CHEMBL3698659 c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1
CHEMBL3094215 c1cc2c(cc1OCCCN1CCCCC1)CCN(CC1CC1)CC2
CHEMBL212222 c1cc2c(cc1OCCCN1CCCCC1)CCN(CC1CCCCC1)C2
CHEMBL187329 C1=C(c2ccc3ccccc3c2)CC2CCC1N2CCOc1cccc2ncccc12
CHEMBL2151570 c1cc2cc(-c3ccc(O[C@H]4CN5CCC4CC5)nn3)ccc2[nH]1
CHEMBL410623 C1=C(c2ccc(CCN3CCCC3)cc2)C2CN(C3CCCC3)CC2C1
CHEMBL408934 C1=C(c2ccc(CCN3CCCC3)cc2)[C@@H]2CN(CC3CC3)C[C@@H]2C1
CHEMBL256225 C1=C(c2ccc(CCN3CCCCC3)cc2)C2CN(Cc3ccccc3)CC2C1
CHEMBL444572 C1=C(c2cccnc2)C2CCC(CC1)N2
CHEMBL62765 C1=C(c2cccnc2)CC2CCC1N2
CHEMBL2177547 C1=C(c2cncc(OCc3ccccc3)c2)CC2CNCC1C2
CHEMBL1170964 c1cc2c(s1)CCOC21CCN(CC2CCCCC2)CC1
CHEMBL3701780 c1cc2nc(N3CCN(C4CC4)CC3)sc2cc1CNC1CC1
CHEMBL3905618 c1cc2[nH]cc(-c3cncc(C4CC4)n3)c2cc1-c1nnc(NC2CNC2)o1
CHEMBL337078 c1ccc2c(c1)CC2CCCN1CCN(c2cccc3c2OCCCO3)CC1
CHEMBL130976 c1ccc2c(c1)CC2CCCN1CCN(c2cccc3c2OCCO3)CC1
CHEMBL130276 c1ccc2c(c1)CC2CCN1CCN(c2cccc3c2OCCO3)CC1
CHEMBL62002 c1ccc2c(c1)COC21CCN(CCCCC2CCCCC2)CC1
CHEMBL62137 c1ccc2c(c1)COC21CCN(CCCCc2cn(-c3ccsc3)c3ccccc23)CC1
CHEMBL301605 c1ccc2c(c1)[nH]c1c2ncc2[nH]c3ccccc3c21
CHEMBL82492 c1ccc2c(c1)Oc1ccccc1S2
CHEMBL5888981 c1ccc2c(c1)OCC(c1ccc(CN3CCCC3)cc1)O2
CHEMBL5859307 c1ccc2c(c1)OCC(c1ccc(CN3CCCCCC3)cc1)O2
CHEMBL5880832 c1ccc2c(c1)OC[C@H](c1ccc(CN3CCC(c4nnn[nH]4)CC3)cc1)O2
CHEMBL6025998 c1ccc2c(c1)OC[C@H](c1ccc(CN(CC3CC3)C3CCCCC3)cc1)O2
CHEMBL73451 c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2
CHEMBL2413828 c1cc(-c2ccc(OCCCN3CCCCC3)cc2)ccc1OCCCCN1CCCCC1
CHEMBL15153 c1ccc2c(Nc3ccc(OCCCN4CCCCC4)cc3)ccnc2c1
CHEMBL274041 c1ccc2c(NCCCc3ccc(OCCCN4CCCCC4)cc3)ccnc2c1
CHEMBL424707 c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
CHEMBL4080023 c1ccc2c(NCCCCCCCCNc3c4c(nc5c3CCCC5)CCCC4)c3c(nc2c1)CCCC3
CHEMBL6018322 c1cc(-c2c[nH]c3nccc(N4CCC5(CCCN5)C4)c23)cnn1
CHEMBL5897575 c1cc(-c2c[nH]c3nccc(N4CCCC5(CCCCN5)C4)c23)cnn1
CHEMBL3973554 c1ccc2nc(CCc3cn4c(-c5ccc(-c6nnn[nH]6)nc5)cnc(N5CCOCC5)c4n3)ccc2c1
CHEMBL560377 c1ccc2nc(COc3ccc(-c4n[nH]cc4-c4ccncc4)cc3)ccc2c1
CHEMBL3892340 c1ccc2nc(SCc3nc4c(N5CCOCC5)ccnn4c3-c3ccc(-c4nnn[nH]4)nc3)ccc2c1
CHEMBL3891239 c1cc(-c2n[nH]c3cnc(-c4cnn(C5CCC5)c4)cc23)nc(N2CCNCC2)c1
CHEMBL219160 c1ccc(-c2cc(-c3ccccc3)c3nc(C4CCCCC4)[nH]c3n2)cc1
CHEMBL337862 c1ccc(-c2ccccc2NCC2=NCCN2)cc1
CHEMBL221600 c1ccc(C2CCN(Cc3cnn(-c4ccccc4)c3)CC2)cc1
