assay_chembl_id	smarts	fraction_of_average_molecule_size
CHEMBL648855	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7]1:&@[#7]:&@[#6](:&@[#7](:&@[#6]:&@1=&!@[#8])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#7]-&!@[#6]=&!@[#8])-&!@[#6]-&!@[#6]	0.6721246006389776
CHEMBL802599	[#6]-&!@[#7]1-&@[#6]2:&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2-&@[#6](-&@[#7]-&@[#6]2:&@[#6]-&@1:&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@2)=&!@[#8]	0.7259400892288081
CHEMBL797524	[#16]=,-;!@[#6](-,=;!@[#7]-&!@[#6]-&!@[#6]-&!@[#6])-,=;!@[#7]-&!@[#6]	0.4153191489361702
CHEMBL769512	[#6]-&!@[#6]-&!@[#7]1-&@[#6](=&!@[#8])-&@[#7](-&!@[#6]-&!@[#6])-&@[#6](-&@[#6](-&@[#6](-&@[#6]-&@1-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1)-&!@[#8])-&!@[#8])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7310126582278481
CHEMBL667185	[#7]-&!@[#6]1=&@[#7]-&@[#6]-&@[#6](-&@[#6](=&@[#7]-&@1)-&!@[#7])-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.7510288065843621
CHEMBL665590	[#7]-&!@[#6]1:&@[#7]:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#7]:&@1	0.3340177960301164
CHEMBL769246	[#8]=&!@[#6]1:,-;@[#6]:,-;@[#6](-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):,-;@[#8]:,-;@[#6](:,=;@[#6]:,-;@1-&!@[#16]-&!@[#6])-&!@[#8]	0.5571166768478925
CHEMBL643358	[#6]-&!@[#6]-&!@[#7](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#7]-&!@[#6]	0.24316109422492402
CHEMBL802411	[#6]-&!@[#6]-&!@[#7]1-&@[#6]2:&@[#7]:&@[#6]:&@[#6](:&@[#6]:&@[#6]:&@2-&@[#6](-&@[#7](-&@[#6]2:&@[#6]-&@1:&@[#7]:&@[#6]:&@[#6]:&@[#6]:&@2)-&!@[#6])=&!@[#8])-&!@[#6]	0.7315480078380143
CHEMBL656501	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#8]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#7](-&!@[#6])-&!@[#6](=&!@[#8])-&!@[#6]-&!@[#7]-&!@[#6](=&!@[#8])-&!@[#6]=&!@[#6]-&!@[#6]	0.5840163934426229
CHEMBL821446	[#6](=,-;!@[#8])-&!@[#6](-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#6](=&!@[#7])-&!@[#7])-&!@[#7]-&!@[#16](=&!@[#8])(=&!@[#8])-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.6372795969773299
CHEMBL663972	[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6](:&@[#6]:&@1)-&!@[#8]-&!@[#6]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]2:&@[#6](:&@[#7]:&@1):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2	0.4882629107981221
CHEMBL766054	[#6]-&!@[#6]1:&@[#6]:&@[#6](-&!@[#16]-&!@[#6]2=&@[#6](-&!@[#8])-&@[#8]-&@[#6](-&@[#6]-&@[#6]-&@2=&!@[#8])(-&!@[#6])-&!@[#6]-&!@[#6]-&!@[#6]2:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@2):&@[#6](:&@[#6]:&@[#6]:&@1)-&!@[#6](-&!@[#6])(-&!@[#6])-&!@[#6]	0.7070247933884297
CHEMBL800582	[#7]#&!@[#6]-&!@[#6]1:&@[#6](-&!@[#7]):&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#16]-&!@[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1	0.8389513108614232
CHEMBL665360	[#6]-&!@[#6]1:&@[#6](-&!@[#6]):&@[#6]:&@[#7]:&@[#6]2:&@[#6]:&@1:&@[#6](:&@[#7]:&@[#6](:&@[#7]:&@2)-&!@[#7])-&!@[#7]	0.5591286307053942
