smiles target_chembl_id target_index
CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)c3nc4ccccc4s3 CHEMBL204 0
CN[C@H](C(c1ccccc1)c2ccccc2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCNC(=N)N)C(=O)c4nc5ccccc5s4 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(=N)NN)NS(=O)(=O)c3ccc4ccccc4c3 CHEMBL204 0
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CC[C@@H]2CC[C@@](N)(Cc3ccccc3)C(=O)N12)C(=O)c4nc5ccccc5s4 CHEMBL204 0
NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)C(=O)N12)C(=O)C(=O)NCCc4ccccc4 CHEMBL204 0
N\C=N\CCCC(NC(=O)CN(CCc1ccccc1)C(=O)CCc2ccccc2)B(O)O CHEMBL204 0
NCCCCC(NC(=O)CN(CC1(CC1)c2ccccc2)C(=O)CCc3ccccc3)B(O)O CHEMBL204 0
CC(C)(CN(CC(=O)NC(CCCCN)B(O)O)C(=O)CCc1ccccc1)c2ccccc2 CHEMBL204 0
NCCCCC(NC(=O)CN(CCc1ccccc1)C(=O)CCc2ccccc2)B(O)O CHEMBL204 0
NC(=N)NCCCC(NC(=O)CN(CC1(CC1)c2ccccc2)C(=O)CCc3ccccc3)B(O)O CHEMBL204 0
CC(C)(CN(CC(=O)NC(CCCN=C(N)N)B(O)O)C(=O)CCc1ccccc1)c2ccccc2 CHEMBL204 0
Cc1cc(C)cc(c1)C(C)(C)CN(CC(=O)NC(CCCN=C(N)N)B(O)O)C(=O)CCc2ccccc2 CHEMBL204 0
Cc1cc(C)cc(CCN(CC(=O)NC(CCCN=C(N)N)B(O)O)C(=O)CCc2ccccc2)c1 CHEMBL204 0
Cc1cc(C)cc(c1)C(C)(C)CN(CC(=O)NC(CCC\N=C\N)B(O)O)C(=O)CCc2ccccc2 CHEMBL204 0
N\C=N\CCCC(NC(=O)CN(CC1(CC1)c2ccccc2)C(=O)CCc3ccccc3)B(O)O CHEMBL204 0
Cc1cc(C)cc(CCN(CC(=O)NC(CCCCN)B(O)O)C(=O)CCc2ccccc2)c1 CHEMBL204 0
Cc1cc(C)cc(c1)C(C)(C)CN(CC(=O)NC(CCCCN)B(O)O)C(=O)CCc2ccccc2 CHEMBL204 0
Cc1cc(C)cc(CCN(CC(=O)NC(CCC\N=C\N)B(O)O)C(=O)CCc2ccccc2)c1 CHEMBL204 0
Cl.CC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)B(O)O CHEMBL204 0
CCNC(=O)COc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)C3CCCCC3 CHEMBL204 0
N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3OCC(=O)N CHEMBL204 0
CCN(CC)C(=O)CN[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3Cl CHEMBL204 0
CCOC(=O)COc1ccc(Cl)cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)C3CCCCC3 CHEMBL204 0
N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C(=O)NCc3cc(Cl)ccc3OCC(=O)NC4CC4 CHEMBL204 0
NC(=N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C4CC4)C1 CHEMBL204 0
CCCCN(CC(=O)O)C(=O)[C@H](CC(=O)NC[C@@H]1CCCN(C1)C(=N)N)NS(=O)(=O)c2ccc3ccccc3c2 CHEMBL204 0
NC(=N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C4CCCCC4)C1 CHEMBL204 0
NC(=N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)Cc4ccccc4)C1 CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3ccc(N)nc3C CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCC3CCN(CC3)C(=N)N CHEMBL204 0
CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3c(C)cc(N)nc3C CHEMBL204 0
CN(C)c1cccc2c(cccc12)S(=O)(=O)N[C@@H](Cc3ccc(cc3)C(N)NN)C(=O)N(C)C4CCCC4 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(N)NN)NS(=O)(=O)c3ccc4ccccc4c3 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(N)NN)NS(=O)(=O)c3ccc4CCCCCc4c3 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(N)NN)NS(=O)(=O)c3ccc4CCCCc4c3 CHEMBL204 0
CN(C1CCCC1)C(=O)[C@H](Cc2ccc(cc2)C(N)NN)NS(=O)(=O)c3ccc4cc5ccccc5cc4c3 CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
NC(=N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CNC(=O)\C=C\[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H](Cc4ccccc4)NC(=O)C1=O)NC=O CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C(=O)C(=O)NCCc3ccccc3 CHEMBL204 0
NCCCC[C@H](NC(=O)[C@@H]1CC2CCCCC2N1C(=O)[C@@H](CC3CCCCC3)NCC(=O)O)C(=O)C(=O)O CHEMBL204 0
