canonical_smiles molregno activity_id standard_value standard_units
Fc1ccc(CCN2CCC3(CC2)CCc4ccccc4C3)c(F)c1 245193 432248 69 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccc(cc3)C#N)c(F)c1 245317 433608 560 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccccc3)c(F)c1 244895 437292 1000 nM
F[C@H]1CCNC[C@H]1c2c([nH]c3cc(F)ccc23)c4ccccc4 522745 437358 4000 nM
NC(=O)c1ccc(cc1)S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2 244901 438751 1300 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3cccc(c3)C#N)c(F)c1 244841 442747 1900 nM
OC1c2ccccc2CCC13CCN(CCc4ccccc4)CC3 244263 445411 1200 nM
Fc1ccc(cc1)S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2 244233 446816 710 nM
Fc1ccc(cc1)N2CCN(CCCN3c4cccc5cccc(c45)S3(=O)=O)CC2 131689 450669 200 nM
Fc1ccc(CCN2CCC3(CC2)CCc4ccccc4S3(=O)=O)c(F)c1 244860 456019 570 nM
O=S(=O)(C1CCN(CCCc2ccccc2)CC1)c3ccccc3 245190 458677 2500 nM
Fc1ccc(CCN2CCC3(CC2)CCc4ccccc4O3)c(F)c1 244289 464859 110 nM
Fc1ccc(cc1)C(=O)CN2CCC(CC2)S(=O)(=O)c3ccccc3 244094 464876 6800 nM
NC(=O)c1cccc(c1)S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2 244868 466272 7143 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccc(Cl)cc3)c(F)c1 244262 467555 150 nM
COc1ccc2OC3(CCN(CCc4ccc(F)cc4F)CC3)CCc2c1 244897 471890 20 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccccc3C#N)c(F)c1 244840 471920 4000 nM
O=S(=O)(C1CCN(CCc2ccccc2)CC1)c3ccccc3 244876 473179 1800 nM
CC(C)(O)c1ccc(cn1)C(Cc2ccc[n+]([O-])c2)c3ccc(OC(F)F)c(OC4CC4)c3 128085 434769 42200 nM
CC(C)(O)c1ncc(s1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CCC4)c3 128116 434772 58400 nM
OC(c1ncc(s1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CC4)c3)(C(F)(F)F)C(F)(F)F 1384547 437251 21000 nM
CC(C)(O)c1ccc(cn1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CCC4)c3 128556 438670 25000 nM
CC(C)(O)c1ccc(cn1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CC4)c3 128557 438674 26400 nM
OC(c1ncc(s1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CCC4)c3)(C(F)(F)F)C(F)(F)F 1384546 445346 38100 nM
CC(O)(c1ccccc1)c2ccc(cn2)C(Cc3cc[n+]([O-])cc3)c4ccc(OC(F)F)c(OC(F)F)c4 88540 451882 1180 nM
CC(C)(O)c1ccc(cn1)C(CC2=CCC(=O)N=C2)c3ccc(OC(F)F)c(OC4CC4)c3 128123 453176 55900 nM
CC(C)(O)c1ccc(cn1)C(Cc2ccc[n+]([O-])c2)c3ccc(OC(F)F)c(OC4CC4)c3 128085 454551 44700 nM
OC(c1ncc(s1)[C@H](Cc2ccc[n+]([O-])c2)c3ccc(OC(F)F)c(OC4CC4)c3)(C(F)(F)F)C(F)(F)F 340762 454554 39000 nM
CC(C)(O)c1ccc(cn1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CC4)c3 128557 457140 41500 nM
CC(C)(O)c1ccc(cc1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC4CCC4)c3 1384545 461065 22400 nM
CC(C)(O)c1ccc(cn1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC(F)F)c3 88715 462285 22700 nM
OC(c1ncc(s1)[C@@H](Cc2ccc[n+]([O-])c2)c3ccc(OC(F)F)c(OC4CC4)c3)(C(F)(F)F)C(F)(F)F 333151 467497 61400 nM
CC(C)(O)c1ccc(cn1)C(Cc2cc[n+]([O-])cc2)c3ccc(OC(F)F)c(OC(F)F)c3 88715 473136 25400 nM
CCn1nc(Cc2ccc(OC3CCC3)cc2)cc1C4CCN(C[C@H]5CN(C[C@@H]5c6cccc(F)c6)[C@@H](C(=O)O)C(C)(C)C)CC4 290813 1028259 3500 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(cc4)C(C)C)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 291221 1030741 8100 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OCC(F)(F)F)cc4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 290685 1034441 3800 nM
CCn1nc(Cc2ccccc2)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 289655 1035802 14000 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC)c(OC)c4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 290306 1035836 22000 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccccc4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 287918 1036949 30000 nM
CCn1nc(Cc2ccc(OC)c(OC)c2)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 291231 1036967 11000 nM
CCn1nc(Cc2ccc(cc2)C(C)(C)C)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 292496 1036994 2100 nM
CCn1nc(Cc2ccc(OC(C)C)cc2)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 290921 1040437 9600 nM
CCn1nc(Cc2ccc(cc2)C#N)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 292073 1041652 1000 nM
CC[C@@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC5CCC5)cc4)nn3CC)[C@H](C1)c6cccc(F)c6)C(=O)O 290814 1042729 3400 nM
CC[C@@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC)c(OC)c4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 291232 1046663 37000 nM
CCOc1ccc(Cc2cc(C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@H]([C@@H](C)CC)C(=O)O)CC3)n(CC)n2)cc1 289432 1053828 16000 nM
CC[C@@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC(C)(C)C)cc4)nn3CC)[C@H](C1)c5cccc(F)c5)C(=O)O 290879 1056393 5600 nM
CCn1nc(Cc2ccc(cc2)c3ccccc3)cc1C4CCN(C[C@H]5CN(C[C@@H]5c6cccc(F)c6)[C@@H](C(=O)O)C(C)(C)C)CC4 289621 1058898 2300 nM
CCn1nc(Cc2ccc(OC(F)(F)F)cc2)cc1C3CCN(C[C@H]4CN(C[C@@H]4c5cccc(F)c5)[C@@H](C(=O)O)C(C)(C)C)CC3 292218 1060100 6000 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(OC5CCC5)cc4)nn3CC)[C@H](C1)c6cccc(F)c6)C(=O)O 290815 1061392 5700 nM
CC[C@H](C)[C@@H](N1C[C@H](CN2CCC(CC2)c3cc(Cc4ccc(cc4)c5ccccc5)nn3CC)[C@H](C1)c6cccc(F)c6)C(=O)O 292494 1061416 3000 nM
CCn1nc(Cc2ccc(cc2)c3ccccc3)cc1C4CCN(C[C@H]5CN(C[C@@H]5c6cccc(F)c6)[C@H](C7CCCCC7)C(=O)O)CC4 290464 1061425 400 nM
CC(C)N1CCN(CC1)[C@@H]2CC[C@](CC2)(NC(=O)C(C)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4 75221 224312 1200 nM
CC(C(=O)NC1(CCC(CC1)N2CCC3(CCCO3)CC2)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75398 225577 730 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCC(CC2)c3ccc(F)cc3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75085 228175 43 nM
CC(C(=O)NC1(CCC(CC1)N2CCCCC2)c3ccccc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 74668 232020 1200 nM
CC(C(=O)NC1(CCC(CC1)N2CCC(C)CC2)c3ccccc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 75382 232022 460 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCC(=O)CC2)c3ccccc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 75985 232024 4000 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCC3(CC2)OCCO3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75496 234462 1000 nM
CC(C(=O)N[C@@]1(CC[C@H](CC1)N2CCC(O)CC2)c3ccccc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 75764 237051 1400 nM
CC(C(=O)NC1(CCC(CC1)N2CCC3(CC2)CCC(C)(C)O3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75701 239775 950 nM
CC(C(=O)NC1(CCC(CC1)N2CCC(O)(Cc3ccccc3)CC2)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75690 247790 260 nM
CC(C(=O)NC1(CCC(CC1)N2CCC3(CCOC3)CC2)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75342 249252 710 nM
CC(C(=O)NC1(CCC(CC1)N2CCC(CC2)C3CCOC3=O)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75702 250604 490 nM
CC(C(=O)NC1(CCC(CC1)N2CCC(CC2)C3CCOC3(C)C)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75700 250606 2200 nM
CC(C(=O)NC1(CCC(CC1)N2CCC(CC2)C3CCC(=O)O3)c4ccccc4)c5cc(cc(c5)C(F)(F)F)C(F)(F)F 75341 258825 400 nM
CC(C(=O)NC1(CCC(CC1)N(C)C)c2ccccc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F 75271 264101 1900 nM
Fc1ccc(CCN2CCC(F)(CC2)S(=O)(=O)c3ccccc3)c(F)c1 296708 1403965 2446 nM
Fc1ccc(CCN2CCC(CC2)S(=O)(=O)c3ccccc3)c(F)c1 244895 1404342 1000 nM
Fc1ccc(cc1)S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2 296798 1404386 5561 nM
Fc1ccc(cc1)S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2 244233 1404482 710 nM
