canonical_smiles molregno activity_id standard_value standard_units
C[C@@H](O[C@H]1CCc2nccn2C[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F 349126 1724709 1800 nM
C[C@@H](O[C@H]1CCC(=O)N(C)[C@@H](C)[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F 349750 1724710 6700 nM
C[C@@H](O[C@H]1C[C@@H](C)C(=O)N(C)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F 349749 1724711 5400 nM
C[C@@H](O[C@H]1C[C@@H](C)C(=O)NC[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F 349915 1724714 2400 nM
C[C@@H](O[C@H]1C[C@@H](C)NC(=O)C[C@@H]1c2ccc(F)cc2)c3cc(cc(c3)C(F)(F)F)C(F)(F)F 350054 1724715 8500 nM
Fc1ccc(cc1)S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2 244233 1726698 710 nM
Fc1ccc(cc1)S(=O)(=O)N2CCN(CCc3ccc(F)cc3F)CC2 347727 1726711 4869 nM
Fc1ccc(CCN2CCN(CC2)C(=O)c3cccc4c(c[nH]c34)C#N)c(F)c1 347726 1726712 1268 nM
CNC1CCN(C1)c2ccc(NC(=O)c3ccc(cc3)c4ccccc4)cn2 299009 1746637 200 nM
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3 112651 1794636 444 nM
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1 5970 1794637 869 nM
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3 3859 1794638 512 nM
Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5 364141 1794639 42 nM
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Sc3ccccc3)cc2C(=O)Nc4ccc(Cl)cn4 367148 1806981 89 nM
Cc1cc(C(=O)Nc2ccc(cc2F)c3ccccc3CN4CCCCC4)n(n1)c5cc6ccccc6cc5F 367140 1806983 1000 nM
CC(=N)N1CCC(CC1)Oc2ccc(cc2)N(Cc3ccc4ccc(cc4c3)C(=N)N)S(=O)(=O)C 254848 1806985 3900 nM
C\C(=C(/F)\C(=O)Nc1ccc(cc1)c2ccccc2S(=O)(=O)N)\c3cccc(c3)C(=N)N 53746 1806987 530 nM
Cc1cc(C(=O)Nc2ccc(cc2)C(=N)N3CCCC3)n(n1)c4cc5ccccc5cc4C#N 367115 1806989 880 nM
CCOC(=O)[C@H]1CN(CC(=O)N1Cc2ccc(cc2)C(=N)N(C)C)S(=O)(=O)c3cc4cc(Cl)ccc4[nH]3 367097 1806991 71 nM
CN1CCN=C1c2ccc(cc2)C(=O)N3CCN(CC3CC(=O)N4CCOCC4)S(=O)(=O)c5cc6ccc(Cl)cc6s5 101251 1806994 600 nM
CCOC(=O)C1CCN(CC1)c2cc(ccc2C(=O)Nc3ccc(OC)cc3C(=O)Nc4ccc(Cl)cn4)C(=N)N(C)C 366944 1806996 600 nM
COc1ccc(NC(=O)c2ccc(cc2N3CCCCC3)C(=N)N(C)C)c(c1)C(=O)Nc4ccc(Cl)cn4 367158 1806997 200 nM
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c(c1)N4CCCC(C4)C(=O)O 367144 1807000 1600 nM
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c(c1)N4CCCCC4 367127 1807002 140 nM
CN(CCCC(=O)O)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3 367122 1807003 1400 nM
CN(CC(=O)O)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3 367121 1807004 1400 nM
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3 367114 1807005 100 nM
CCOC(=O)C1CCN(CC1)C(=N)c2ccc(C(=O)Nc3c(OC)cc(Cl)cc3C(=O)Nc4ccc(Cl)cn4)c(F)c2 366943 1807007 51 nM
CCOC(=O)C1CCN(CC1)C(=N)c2ccc(cc2)C(=O)Nc3ccc(Cl)cc3C(=O)Nc4ccc(Cl)cn4 367101 1807009 17 nM
CCOC(=O)C1CCCN(C1)C(=N)c2ccc(cc2)C(=O)Nc3ccc(Cl)cc3C(=O)Nc4ccc(Cl)cn4 367192 1807011 16 nM
CCOC(=O)COc1ccc(NC(=O)c2ccc(cc2)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3 367185 1807013 970 nM
COC(=O)CCc1ccc(NC(=O)c2ccc(cc2)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3 367178 1807015 790 nM
COC(=O)c1ccc(Oc2ccc(NC(=O)c3ccc(cc3)C(=N)N(C)C)c(c2)C(=O)Nc4ccc(Cl)cn4)cc1 367164 1807017 570 nM
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Sc3ccc(cc3)C(=O)O)cc2C(=O)Nc4ccc(Cl)cn4 367157 1807018 4600 nM
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Sc3ccc(cc3)C(=O)N(C)C)cc2C(=O)Nc4ccc(Cl)cn4 366942 1807019 370 nM
COC(=O)c1ccc(Sc2ccc(NC(=O)c3ccc(cc3)C(=N)N(C)C)c(c2)C(=O)Nc4ccc(Cl)cn4)cc1 367151 1807020 71 nM
COC(=O)N(NC(=O)c1c(OCCN(C)C)c(nc2ccccc12)c3ccccc3)c4ccccc4 366802 1808984 89 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C3(C)CCCCC3)c(nc4c(F)cccc14)c5ccccc5)c6ccccc6 366536 1809008 2000 nM
COC(=O)N(NC(=O)c1c(CN2CCNCC2)c(nc3c(F)cccc13)c4ccccc4)c5ccccc5 366859 1809011 8200 nM
COC(=O)N(NC(=O)c1c(CC2CCN(CC2)C3CCOCC3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366534 1809012 8000 nM
COC(=O)N(NC(=O)c1c(CC2CCNCC2)c(nc3ccccc13)c4ccccc4)c5ccccc5 366854 1809013 520 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)S(=O)(=O)c3ccccc3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366533 1809014 2500 nM
COC(=O)N(NC(=O)c1c(CN2CCN(Cc3ccccc3)CC2)c(nc4ccccc14)c5ccccc5)c6ccccc6 366532 1809016 530 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C3CCSCC3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366531 1809017 510 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C3CCOCC3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366530 1809018 6500 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C3CCCCC3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366529 1809019 1800 nM
COC(=O)N(NC(=O)c1c(CN2CCN(CC2)C(C)C)c(nc3ccccc13)c4ccccc4)c5ccccc5 366840 1809020 880 nM
COC(=O)N(NC(=O)c1c(CN2CCN(C)CC2)c(nc3ccccc13)c4ccccc4)c5ccccc5 366981 1809021 320 nM
COC(=O)N(NC(=O)c1c(CN2CCNCC2)c(nc3ccccc13)c4ccccc4)c5ccccc5 366974 1809022 840 nM
COC(=O)N(NC(=O)c1c(CN2CCCCC2)c(nc3ccccc13)c4ccccc4)c5ccccc5 366968 1809023 4900 nM
COC(=O)N(NC(=O)c1c(OC2CCN(CC2)C(C)(C)C)c(nc3ccccc13)c4ccccc4)c5ccccc5 366668 1809024 3000 nM
COC(=O)N(NC(=O)c1c(OC2CCN(CC2)C3CCOCC3)c(nc4ccccc14)c5ccccc5)c6ccccc6 366803 1809025 8900 nM
CCC1(CN)CN(C1)c2c(C)c3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4 383506 1896905 45000 nM
Cc1c(N2CC(C)(CN)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O 383504 1896907 112000 nM
C[C@H](NCCC#N)[C@@H]1CCN(C1)c2c(C)c3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4 383499 1896912 72000 nM
C[C@H](N)[C@@H]1CCN(C1)c2c(C)c3N(C=C(C(=O)O)C(=O)c3cc2F)C4CC4 383498 1896913 51000 nM
COc1c(ccc2C(=O)C(=CN(C3CC3)c12)C(=O)O)N4CC[C@H](C4)[C@H](C)N 383495 1896916 62000 nM
COc1c(ccc2C(=O)C(=CN(C3CC3)c12)C(=O)O)N4CC[C@@H](CN)C4 383493 1896918 64000 nM
COc1c(N2CC[C@H](C2)[C@H](C)N)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O 383488 1896923 85000 nM
COc1c(N2CC[C@@H](CNCCC#N)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O 383487 1896924 106000 nM
COc1c(N2CC[C@@H](CN)C2)c(F)cc3C(=O)C(=CN(C4CC4)c13)C(=O)O 383486 1896925 24000 nM
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2 5638 1901318 6.4 nM
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24 2261 1901319 3080 nM
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C 72035 1901320 353 nM
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3 112651 1901321 291 nM
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1 65605 1901323 12.8 nM
CN(C)c1ccc2c(Cc3cc(ccc3C24OC(=O)c5cc(ccc45)C(=O)NCCCCCCN(CCOc6ccc(NS(=O)(=O)C)cc6)CCc7ccc(NS(=O)(=O)C)cc7)N(C)C)c1 381931 1901325 89 nM
CS(=O)(=O)Nc1ccc(CCN(CCCCCCNC(=O)c2ccc3c(c2)C(=O)OC34c5ccc(O)cc5Cc6cc(O)ccc46)CCOc7ccc(NS(=O)(=O)C)cc7)cc1 381930 1901326 15 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CCCCCC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381929 1901327 10 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CCC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381928 1901328 19 nM
CC1(C)C2=C3CC4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381927 1901329 7 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381926 1901330 13 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381925 1901331 18 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381924 1901332 160 nM
CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c6cc(ccc56)S(=O)(=O)[O-])OC3CCN2c7ccc(CC(=O)NCCN(CCOc8ccc(NS(=O)(=O)C)cc8)CCc9ccc(NS(=O)(=O)C)cc9)cc17 381923 1901333 7300 nM
CCN1CCCc2cc3NC4C=C5CCC[N+](=C5C=C4Oc3cc12)CCCC(=O)N(CCOc6ccc(NS(=O)(=O)C)cc6)CCc7ccc(NS(=O)(=O)C)cc7 381922 1901334 3.6 nM
CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(=O)(=O)C)cc2)C(=O)c3ccc4c(c3)C(=O)OC45c6ccc(O)cc6Oc7cc(O)ccc57)cc1 381918 1901336 980 nM
CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(=O)(=O)C)cc2)c3ccc(c4nonc34)[N+](=O)[O-])cc1 381917 1901337 0.39 nM
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1 65605 1901338 2.9 nM
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24 2261 1901339 4060 nM
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C 72035 1901340 190 nM
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3 112651 1901341 184 nM
CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2 5638 1901343 7.7 nM
CN1CCN(CC1)c2cccc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23 408183 2020476 1280 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1 408196 2020513 206 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1 408196 2020514 219 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1 408196 2020515 214 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1 408196 2020516 381 nM
CCN(Cc1cccc(OCc2noc(n2)c3ccccc3F)c1)C4CCN(C4)C5CC(C)C(C)C5 408200 2020517 222 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4ccc(cn4)c5ccccc5F)cc23)C1 408199 2020518 410 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccccc5F)cc23)C1 408198 2020519 1300 nM
OCC1CCCN(CCCC2CCCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23)C1 408196 2020520 271 nM
OCC1(CCCC1)NCCCC2CCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23 408194 2020521 525 nM
OCC1(CCCC1)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccccc6F)cc34 408192 2020522 709 nM
Fc1ccccc1c2onc(COc3ccc4CCC(N5CCN(CC5)C6CCCC6)c4c3)n2 408190 2020523 693 nM
OCC1(CCCC1)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccc(Cl)cc6)cc34 408189 2020524 205 nM
CC1CC(CC1C)N2CCN(CC2)C3CCc4ccc(OCc5noc(n5)c6ccc(Cl)cc6)cc34 408187 2020525 261 nM
CC(C)N1CCN(CC1)C2CCc3ccc(OCc4noc(n4)c5ccc(Cl)cc5)cc23 408185 2020526 98.1 nM
[O-][S+](c1ccccc1)c2ccc(\C=C\c3ccc(F)cc3F)nc2 409599 2023089 6500 nM
[O-][S+](c1ccccc1)c2ccc(\C=C\c3ccc(F)cc3F)nc2 409599 2023186 4200 nM
[O-][S+](c1ccccc1)c2ccc(\C=C\c3ccc(F)cc3F)nc2 409599 2023187 2800 nM
[O-][S+](c1ccccc1)c2ccc(\C=C\c3ccc(F)cc3)nc2 409598 2023188 3900 nM
[O-][S+](c1ccc(\C=C\c2ccc(F)cc2)nc1)c3ccccc3F 409596 2023190 2900 nM
Fc1ccc(\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3)c(F)c1 644493 2023191 9000 nM
COc1cc(F)ccc1\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F 409595 2023192 1400 nM
Oc1ccccc1\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F 409594 2023193 1400 nM
Oc1cc(F)ccc1\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F 409593 2023194 2100 nM
Fc1ccc(\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F)c(c1)C#N 409592 2023195 1500 nM
Cc1cc(F)ccc1\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F 409591 2023196 5000 nM
Fc1ccc(\C=C\c2ccc(cn2)S(=O)(=O)c3ccccc3F)c(Cl)c1 409590 2023197 4800 nM
Fc1ccccc1S(=O)(=O)c2ccc(\C=C\c3ccncc3)nc2 409588 2023199 4200 nM
Fc1ccc(\C=C\c2ccc(cn2)S(=O)(=O)c3ccc(F)cc3)cc1 409582 2023205 9500 nM
Fc1ccc(\C=C\c2ccc(nc2)S(=O)(=O)c3ccc(F)cc3)cc1 409581 2023206 3300 nM
Fc1ccc(CCc2ccc(cn2)S(=O)(=O)c3ccc(F)cc3)cc1 409580 2023207 8200 nM
Fc1ccc(CCc2ccc(nc2)S(=O)(=O)c3ccc(F)cc3)cc1 409578 2023208 6900 nM
Fc1ccc(cc1)S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2 296798 2023209 5600 nM
FC(F)(F)C(=O)NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423205 2075885 101 nM
O=C(NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12)c6cccnc6 423279 2075887 202 nM
Fc1ccc(cc1)C(=O)NC2CCc3cc(CCN4CCN(CC4)c5nsc6ccccc56)ccc23 423277 2075888 135 nM
CC(C)C(=O)NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12 423275 2075889 219 nM
O=C(NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12)C6CC6 423274 2075890 137 nM
CCCC(=O)NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12 423272 2075891 269 nM
CCC(=O)NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12 423270 2075892 184 nM
CC(=O)NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12 423269 2075893 2202 nM
FC(F)(F)C(=O)NC1CCc2cc(CCN3CCN(CC3)c4nsc5ccccc45)ccc12 423267 2075894 143 nM
O=C(NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12)c6oncc6 423265 2075895 150 nM
O=C(NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12)c6occc6 423248 2075896 35 nM
O=C(CCc1ccccc1)NC2CCc3ccc(CCN4CCN(CC4)c5nsc6ccccc56)cc23 423235 2075897 511 nM
O=C(Cc1ccccc1)NC2CCc3ccc(CCN4CCN(CC4)c5nsc6ccccc56)cc23 423225 2075898 201 nM
O=C(NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12)c6cccnc6 423222 2075899 358 nM
Fc1ccc(cc1)C(=O)NC2CCc3ccc(CCN4CCN(CC4)c5nsc6ccccc56)cc23 423220 2075900 78 nM
Clc1ccc(cc1)C(=O)NC2CCc3ccc(CCN4CCN(CC4)c5nsc6ccccc56)cc23 423219 2075901 166 nM
Cc1ccc(cc1)C(=O)NC2CCc3ccc(CCN4CCN(CC4)c5nsc6ccccc56)cc23 423217 2075902 194 nM
O=C(NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12)c6ccccc6 423215 2075903 272 nM
CC(C)C(=O)NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423214 2075904 278 nM
O=C(NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12)C6CC6 423212 2075905 35 nM
CCCC(=O)NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423210 2075906 196 nM
CCC(=O)NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423209 2075907 164 nM
CC(=O)NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423208 2075908 885 nM
NC1CCc2ccc(CCN3CCN(CC3)c4nsc5ccccc45)cc12 423207 2075909 616 nM
Cc1oc(cc1)c2nc(NC(=O)COc3ccccc3CCN4CCOCC4)cc(n2)n5nc(C)cc5C 424900 2082419 180 nM
CNCc1cc(NS(=O)(=O)C)ccc1Oc2ccc(Cl)cc2C 437873 2103445 7250 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2C)N3CCCS3(=O)=O 437872 2103446 1590 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2C)C(=O)N(C)C 437921 2103447 3751 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2C)C(=O)N 437923 2103449 3866 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2Cl)N3CCCS3(=O)=O 437963 2103450 1556 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2Cl)C(=O)NC 437967 2103452 1757 nM
CNCc1cc(ccc1Oc2ccc(Cl)cc2Cl)C#N 437965 2103454 2213 nM
CNCc1ccccc1Oc2ccc(Cl)cc2F 438057 2103460 5932 nM
CNCc1ccccc1Oc2ccc(Cl)cc2OC 438116 2103464 4380 nM
CNCc1cnc(C)cc1Oc2ccccc2Oc3ccccc3 433759 2119270 5800 nM
COc1cc(Cl)ccc1O[C@H]([C@@H]2CNCCO2)c3ccccc3 427891 2164039 3300 nM
CC(C)C(=O)N(Cc1ccccc1c2ccccc2)[C@H]3CCNC3 489211 2563286 2840 nM
CCOC(=O)N(Cc1ccccc1c2ccccc2)[C@H]3CCNC3 489609 2563297 2830 nM
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CC3)N(CNC4=O)c5ccccc5 516780 2401119 30000 nM
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CCN(C4)S(=O)(=O)c5ccccc5)C3 516847 2401120 28500 nM
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNc5ccccc45 516848 2401121 18540 nM
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNCc5ccccc45 516849 2401122 1760 nM
Nc1ccccc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4)CC3 516932 2401123 21450 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4)CC3)c5cccs5 516934 2401124 790 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4)CC3)c5ccsc5 517011 2401125 1210 nM
Cn1cc(cn1)c2ccc(N)c(NC(=O)c3ccc(nc3)N4CCC5(CCNC5)CC4)c2 517012 2401126 19250 nM
Cn1cnc(c1)c2ccc(N)c(NC(=O)c3ccc(nc3)N4CCC5(CCNC5)CC4)c2 517014 2401128 9800 nM
CC(=O)N1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517094 2401129 9790 nM
CCNC(=O)N1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517095 2401130 460 nM
CS(=O)(=O)N1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517096 2401131 5210 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CCN(C4)c5ncccn5)c6cccs6 517097 2401132 760 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCN(CC(F)(F)F)C4)CC3)c5cccs5 517173 2401133 1900 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCN(CCO)C4)CC3)c5cccs5 517174 2401134 170 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCN(CC(=O)O)C4)CC3)c5cccs5 517175 2401135 3200 nM
NC(=O)CN1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517176 2401136 97 nM
CC(=O)N1CCC2(CCN(C2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517297 2401137 2790 nM
CC(=O)N1CC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517298 2401138 6300 nM
CC(=O)N1CCC2(CCCN(C2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1 517299 2401139 3810 nM
CC(=O)N1CCCC12CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5 517300 2401140 16740 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNc5ccccc45)c6cccs6 517374 2401141 10250 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCCC4O)CC3)c5cccs5 517376 2401143 9420 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4=O)CC3)c5cccs5 517377 2401144 8620 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNC4=O)c5cccs5 517467 2401145 10980 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNC(=O)C4)c5cccs5 517468 2401146 8699 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)NC(=O)NC4=O)c5cccs5 517469 2401147 9070 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)NCNC4=O)c5cccs5 517470 2401148 7540 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)N(CNC4=O)c5ccccc5)c6cccs6 516209 2401149 6330 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CC3)CNC(=O)N4)c5cccs5 516210 2401150 14560 nM
Nc1ccc(cc1NC(=O)c2ccc(nc2)N3CCC4(CCNC4)CC3)c5ccccc5 516933 2401152 590 nM
Fc1ccc2c(c1)nc(c3ccccn3)n2c4ccc(OCCCN5CCCCC5)cc4 493222 2257564 70 nM
Fc1ccc2c(c1)nc(c3ccccn3)n2c4ccc(OCCCN5CCOCC5)cc4 493224 2257565 62 nM
CC(C)[C@@H]1CCN(CCCOc2ccc(cc2)n3c(nc4cc(F)ccc34)c5ccccn5)C1 493351 2257566 26 nM
Fc1ccc2c(c1)nc(c3ccccn3)n2c4ccc(OCCCN5CCSC5)cc4 493352 2257567 42 nM
Fc1ccc2c(c1)nc(c3ccccn3)n2c4ccc(OCCCN5CCc6ccccc6C5)cc4 493416 2257568 94 nM
OC1CCN(CCCOc2ccc(cc2)n3c(nc4cc(F)ccc34)c5ccccn5)CC1 493418 2257569 16 nM
COC(=O)C1CCN(CCCOc2ccc(cc2)n3c(nc4cc(F)ccc34)c5ccccn5)CC1 493419 2257570 49 nM
CN(C)C(=N)c1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3 367114 2516657 110 nM
COc1ccc(NC(=O)c2ccc(cc2)C(=N)N(C)C)c(c1)C(=O)Nc3ccc(Cl)cn3 459679 2516658 1800 nM
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c(F)c1 459253 2516659 420 nM
